attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
0,,,0.416666666666667,,,,,0.416666666666667,,0,0,0,,1,x5Mv61CnZLohZWxfCVCPTQ,0,,0.416666666666667,,"['Sandwiches', 'Pizza', 'Chicken Wings', 'Restaurants']",0,0.416666666666667,Domino's Pizza,0,0,,,,,,2,,0,,,16,,AZ,1,0.0833333333333333,,0,1,"2819 N Central Ave
Phoenix, AZ 85004",0,,,,,0,0.416666666666667,,0,1,0,no,1,Phoenix,1,,2.5,,business,0,0,33.4794817,,,-112.0736806,0,,0,0.0833333333333333,0,0,0.416666666666667,,,,0,0,0,,,,,0.416666666666667,loud,,casual,,0,[],,0,,0
,,,,,,,,,,,,,,,2ZnCITVa0abGce4gZ6RhIw,,,,,"['American (New)', 'Sandwiches', 'Restaurants']",,,Viad Tower Restaurants,,,,,,,,1,,,,,6,,AZ,1,,,,1,"1850 N Central Ave
Phoenix, AZ 85004",,,,,,0,,,,0,,,1,Phoenix,,,3.5,,business,,,33.4685474,,,-112.0750849,,,,,1,,,,,,,,,,,,,,quiet,,,,1,[],,,,
0,,0,0.375,,,,,0.375,0,1,2,0,,0,EmzaQR5hQlF0WIl24NxAZA,0,,,0,"['American (New)', 'Nightlife', 'Dance Clubs', 'Restaurants']",0,,Sky Lounge,0,0,,,0,,,1,0,1,,1,25,,AZ,1,0.125,0,0,0,"132 E Washington St
Phoenix, AZ 85004",0.125,,0,0,,1,0.375,21plus,0,0,,no,1,Phoenix,1,,2.5,,business,0,0,33.4483992,0,0,-112.0717019,,,,0.125,0,0,0.375,,1,,1,0.125,1,,0,,,,very_loud,outdoor,casual,,1,[],,0,0,0
0,,,0.458333333333333,,,,,0.458333333333333,0,1,2,0,,1,KPoTixdjoJxSqRSEApSAGg,0,,0.458333333333333,0,"['Thai', 'Restaurants']",1,0.458333333333333,Wild Thaiger,0,0,,,,,,2,0,0,,,432,,AZ,1,0.916666666666667,1,0,1,"2631 N Central Ave
Phoenix, AZ 85004",0.875,,0,,,1,0.458333333333333,,0,0,0.875,free,1,Phoenix,1,,3.5,,business,1,0,33.477939,1,,-112.073417,0.875,,0.875,0.916666666666667,1,0,0.708333333333333,,,,1,0.875,1,,,,,0.458333333333333,average,,casual,,1,[],,0,,0
0,,,0.458333333333333,0,,,,0.458333333333333,0,1,2,0,,0,e5kc0CQ4R-PCCDgb274gSg,0,,0.458333333333333,0,"['Cafes', 'Mexican', 'Tex-Mex', 'Restaurants']",1,0.458333333333333,Canyon Cafe,0,0,,,,,,2,0,1,,,238,,AZ,1,0.916666666666667,0,0,1,"455 N 3rd St
Ste 114
Phoenix, AZ 85004",0.916666666666667,,0,,,1,0.458333333333333,,0,0,0.916666666666667,no,1,Phoenix,1,,3.5,,business,1,0,33.4521542,1,,-112.0686202,0.875,,0.916666666666667,0.916666666666667,1,0,0.458333333333333,,,,1,0.875,1,,,,,0.458333333333333,average,,casual,,1,[],0,0,,0
,,,,,,,,,0,1,2,,,0,gBcpDl0quCLABsg5OuSFww,,,,1,"['Food', 'Tea Rooms', 'Breakfast & Brunch', 'Sandwiches', 'Restaurants']",1,,Teeter House Tea Room,0,,no,,,,,2,0,1,,,12,,AZ,1,,1,0,1,"622 E Adams St
Phoenix, AZ 85004",,,0,,,1,,,,0,,,0,Phoenix,0,,3.5,,business,,,33.4492979,0,,-112.0655423,,,,,1,1,,,,,,,,,,,,,,,casual,,1,[],0,,,
,,,,,,,,,0,,0,,,,72N6TdH5MdUWE2YhYRbyxw,,,,0,"['Burgers', 'Restaurants']",0,,Burger King,,,,,,,,3,0,,,,12,,AZ,1,,0,,1,"2530 N Central Ave
Phoenix, AZ 85004",,,0,,,0,,,,0,,,1,Phoenix,,,2.5,,business,,,33.47626,0,,-112.074248,,,,,1,,,,,,,,,,,0,,,,,casual,,0,[],,,,
,,,0.291666666666667,,,,,0.291666666666667,0,0,,,,,eOgUKCy5-sK-leqIBiNokg,,,0.291666666666667,0,"['Cafes', 'Restaurants']",0,0.291666666666667,Copper Square Cafe,,,,,,,,1,0,,,,3,,AZ,1,0.625,0,,1,"2 N Central Ave
Phoenix, AZ 85004",0.625,,0,,,0,,,,1,0.625,,0,Phoenix,,,3,,business,,,33.4484911,0,,-112.0744277,0.625,,0.625,,1,,,,,,0,,,,,,,0.291666666666667,,,casual,,1,[],,,,
0,,,0.291666666666667,,,,,0.291666666666667,0,0,0,0,,0,neGAQFkBNI8-rpPBLBzNkw,0,,0.291666666666667,0,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']",0,0.291666666666667,Taco Bell,0,0,,,,,,1,0,0,,,10,,AZ,1,0.0833333333333333,1,0,1,"301 East McDowell Road
Phoenix, AZ 85004",0.0416666666666667,,0,,,0,0.291666666666667,,0,0,0.0416666666666667,no,1,Phoenix,1,,4,,business,0,0,33.46544,0,,-112.06909,0.0416666666666667,,0.0416666666666667,0.0833333333333333,1,0,0.291666666666667,,,,0,0.0416666666666667,0,,,1,,0.291666666666667,average,,casual,,1,[],,0,,0
0,,1,0.458333333333333,,,,,0.458333333333333,0,1,2,0,,0,45puCRQ6Vh_IIAy7kkfFDQ,0,,0.458333333333333,0,"['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']",1,0.458333333333333,Majerle's Sports Grill,1,0,,,,,,2,0,1,,0,205,,AZ,1,0.0833333333333333,1,0,1,"24 N 2nd St
Phoenix, AZ 85004",0.0833333333333333,,0,,,1,0.458333333333333,,0,0,0.0833333333333333,no,1,Phoenix,1,,3.5,,business,1,0,33.4484654,0,0,-112.0712574,0.0833333333333333,,0.0833333333333333,0.0833333333333333,0,0,0.458333333333333,,0,,1,0.0833333333333333,1,,,,,0.458333333333333,loud,no,casual,,1,[],,0,,0
