business_id,full_address,open,city,name,latitude,longitude,state,stars,hastv,outdoorseating,attire,alcohol,waiterservice,acceptscreditcards,goodforkids,goodforgroups,pricerange
x5Mv61CnZLohZWxfCVCPTQ,"2819 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Domino's Pizza,33.4794817,-112.0736806,AZ,2.5,f,f,casual,none,f,t,f,f,2
2ZnCITVa0abGce4gZ6RhIw,"1850 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Viad Tower Restaurants,33.4685474,-112.0750849,AZ,3.5,,,,,,t,t,t,1
EmzaQR5hQlF0WIl24NxAZA,"132 E Washington St
Phoenix, AZ 85004",t,Phoenix,Sky Lounge,33.4483992,-112.0717019,AZ,2.5,t,t,casual,full_bar,f,t,f,t,1
KPoTixdjoJxSqRSEApSAGg,"2631 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Wild Thaiger,33.477939,-112.073417,AZ,3.5,t,t,casual,full_bar,t,t,t,t,2
e5kc0CQ4R-PCCDgb274gSg,"455 N 3rd St
Ste 114
Phoenix, AZ 85004",t,Phoenix,Canyon Cafe,33.4521542,-112.0686202,AZ,3.5,t,t,casual,full_bar,t,t,t,t,2
gBcpDl0quCLABsg5OuSFww,"622 E Adams St
Phoenix, AZ 85004",f,Phoenix,Teeter House Tea Room,33.4492979,-112.0655423,AZ,3.5,,t,casual,full_bar,t,t,t,t,2
72N6TdH5MdUWE2YhYRbyxw,"2530 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Burger King,33.47626,-112.074248,AZ,2.5,,,casual,none,f,t,t,f,3
eOgUKCy5-sK-leqIBiNokg,"2 N Central Ave
Phoenix, AZ 85004",f,Phoenix,Copper Square Cafe,33.4484911,-112.0744277,AZ,3.0,f,f,casual,,f,t,t,t,1
neGAQFkBNI8-rpPBLBzNkw,"301 East McDowell Road
Phoenix, AZ 85004",t,Phoenix,Taco Bell,33.46544,-112.06909,AZ,4.0,f,f,casual,none,f,t,t,t,1
45puCRQ6Vh_IIAy7kkfFDQ,"24 N 2nd St
Phoenix, AZ 85004",t,Phoenix,Majerle's Sports Grill,33.4484654,-112.0712574,AZ,3.5,t,t,casual,full_bar,t,t,f,t,2
nc3IiY5LNdmEwUZCW84yuA,"455 N 3rd St
Phoenix, AZ 85004",f,Phoenix,Pizzeria Uno,33.4521542,-112.0686202,AZ,2.5,,t,casual,full_bar,t,t,t,t,2
P7wKlbSRsoRrfH3DFOY08A,"2508 N Central Ave
Phoenix, AZ 85004",t,Phoenix,International House of Pancakes,33.475583,-112.074115,AZ,3.0,f,f,casual,none,t,t,t,t,1
BESmH-lmMm34_EefL8X9fQ,"1830 S Central Ave
Phoenix, AZ 85004",t,Phoenix,Comedor Guadalajara,33.429424,-112.073929,AZ,4.0,f,f,casual,full_bar,t,t,t,t,2
D09yG6Z3gcsh24Qn7Y4gYA,"530 E McDowell Rd
Ste 103
Phoenix, AZ 85004",t,Phoenix,Chico's Tacos,33.4657117,-112.0657286,AZ,3.0,t,t,casual,beer_and_wine,f,t,t,t,1
kaIue7GRCmkPzDeHDBTttQ,"1401 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Phoenix Blue Fin,33.4640982988196,-112.073568999767,AZ,4.0,f,t,casual,none,f,t,t,f,1
j8nyAaN_w5t6wYv-ni23sg,"412 S 3rd St
Phoenix, AZ 85004",f,Phoenix,Coach & Willies,33.443909,-112.070122,AZ,3.0,t,t,casual,full_bar,t,t,f,t,2
5XIvwfbIa-vuFEkkeCQ6kQ,"245 E Jackson St
Phoenix, AZ 85004",f,Phoenix,Jackson's On 3rd,33.4450359,-112.0706266,AZ,2.0,,t,casual,none,t,t,f,t,2
VsO_rhXi5lgbaGxNwoEZsQ,"905 N 4th St
Phoenix, AZ 85004",f,Phoenix,Fate 905,33.4579128,-112.0686777,AZ,3.0,,t,casual,full_bar,t,t,f,f,2
Y293fHh5SZ0_9BZm4M6BCg,"125 E Adams St
Phoenix, AZ 85004",f,Phoenix,Matador Restaurant,33.4493093,-112.07194,AZ,3.0,f,t,casual,full_bar,t,t,t,t,2
XI-_Y2XRw03mozGx0Z90Gw,"50 N Central Ave
Phoenix, AZ 85004",f,Phoenix,Baja Fresh Mexican Grill,33.4487514,-112.0738147,AZ,3.5,f,t,casual,none,f,t,t,t,1
