business_id,takeout,drivethru,caters,noiselevel,takesreservations,delivery,hastv,outdoorseating,attire,alcohol,waiterservice,acceptscreditcards,goodforkids,goodforgroups,pricerange,rating_category
qsWxbgQwuomXvMseg23DGg,t,,f,average,f,f,t,t,casual,full_bar,t,t,f,t,2,low
s6zzKc7UvwDRxn-BFlhiTg,t,,,,f,f,f,t,casual,,f,t,t,t,1,low
eOgUKCy5-sK-leqIBiNokg,t,,,,f,t,f,f,casual,,f,t,t,t,1,
xH5axHFadmc7Veutt376TA,t,t,f,very_loud,f,f,f,f,casual,none,f,t,t,t,1,low
D09yG6Z3gcsh24Qn7Y4gYA,t,,t,average,f,f,t,t,casual,beer_and_wine,f,t,t,t,1,
VsO_rhXi5lgbaGxNwoEZsQ,t,,,,t,f,,t,casual,full_bar,t,t,f,f,2,
eK6KGMKqU_4nB9RdayZD7Q,t,,f,loud,f,f,t,t,casual,full_bar,t,t,f,t,2,low
DlCtdbceo4YNSI53cCL2lg,t,,t,average,t,f,f,f,casual,full_bar,t,t,t,t,2,
h2ewvzx8enIwYhNbtIpcZw,t,,t,quiet,f,t,f,t,casual,none,f,t,t,t,1,low
9tefv6uPxoHhp_OlQQJVXA,t,,,,f,t,,f,casual,none,t,t,t,f,1,low
g4Eit1EeeEGhTVik6AWYsA,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
OkXpdUozVS3vjSRtCoSIvw,t,f,,loud,,,f,t,,none,f,t,,,1,low
od49_DFUJY9louGx80My-A,t,,,average,f,f,,f,casual,beer_and_wine,t,t,t,t,1,low
KNIw6kwf8LZkrS1lEnaLiw,t,,t,quiet,f,f,f,t,casual,none,f,t,t,t,1,low
RoErsFPM0A-1SCqD-FRV_Q,,,,,,,,,,,,,,,,low
04HakCR6gEeRYNAoKxkppQ,t,,,,f,,,t,casual,full_bar,t,t,f,t,1,
po5FyERB4lUZNnBIwnhFlg,t,t,f,quiet,f,f,f,t,casual,none,t,t,t,t,1,
I2IofjP2sHZUkv7pcoc33A,t,t,f,average,f,f,t,f,casual,none,f,t,t,t,2,
zU8IfotOLryhaz5okWx6cA,t,,,,f,f,,,casual,none,f,t,t,t,1,
xfk9eY8gmwn8qsbyd-W6lQ,t,,t,average,f,t,t,f,casual,beer_and_wine,f,t,t,t,1,
2unQHR9uaRxk3dsW6f3MGA,t,,,quiet,t,f,t,f,casual,beer_and_wine,t,t,t,t,2,
Um5VnQXli9IwplV2rmgggg,t,,f,average,f,f,f,f,casual,none,t,t,t,t,1,
5UBAWhxukaPrc_0DalT-3w,t,t,f,loud,f,f,f,f,casual,none,f,t,t,t,1,
jzPMl-NoB5F2fwoHX3hN8A,t,,t,average,t,f,t,f,casual,full_bar,t,t,t,t,2,
L19_1cG2ALVjdBQ456h26A,t,t,f,average,f,f,f,t,casual,none,f,t,t,t,1,
UlShIstbG4Yfh0MpTAEciA,t,,,,f,f,,f,casual,none,f,t,t,t,1,
X8dNaEFH7LWDt1ORmkfDTg,t,f,t,loud,f,f,f,f,casual,none,f,t,t,t,1,
LXhL5X3edNRy7epku6UAEw,,,,,,,,,,,,,,,,high
WzhHlaEyaHE4KIFfcqC_9g,t,,f,average,f,f,t,f,casual,none,f,t,t,t,1,low
YSQnaRE4Le6CaonZICFyVQ,t,,,,,f,t,,,,,t,,,,low
yLfYR-PvIzAv9DnEH68Rgw,,,,,t,,,,casual,,,t,,,3,low
u0zjW7rluJgUeQTnaZnkJQ,t,t,t,average,f,f,f,f,casual,none,f,t,t,f,1,low
oEjdNvlluW5_Ng9kewJFBg,,,,,t,,,t,casual,,t,t,t,t,2,low
nLpV9fo8xml-QHOKyOje2A,t,,,average,f,f,f,t,casual,none,f,t,t,t,1,low
kjZJsF1juY_pTOw_A8Ve6w,t,,,average,f,f,t,t,casual,full_bar,t,t,t,t,2,
T-FM14EE1tt-94eONQEaVA,t,,,,,,,,casual,none,,,,t,,low
y9hLY6sdKhxz1puWrp5f2Q,t,,t,,f,f,f,f,casual,,f,t,t,t,2,low
UxMnY3Dxafucv5cXHyfBSA,t,,t,quiet,t,f,f,f,casual,none,t,t,t,t,1,
fYSOdexjrBTiJRzKhZpBWA,t,,,,f,f,,,,,,t,t,t,,low
cTyBfWfmgL3vgRetyfmtyA,t,,,,,,,t,casual,full_bar,,t,f,t,,low
Y9V4EebKsaBmvKPlxXVheA,t,t,,quiet,f,f,f,f,casual,none,f,t,t,t,1,low
nW_1gn19lMnS9IF1KlZ-aA,t,,,,f,,,f,casual,none,f,t,,f,1,low
beSNHSvR9kjE_5vXJ_tlfw,t,t,f,quiet,f,f,f,f,casual,none,f,t,t,t,1,low
zwJX3eetOhpi-gv4-E4rcQ,t,,f,,f,t,,,casual,,,t,t,f,2,low
DEEAiq6dqVU8bvtC7VXztA,t,,,quiet,f,f,t,t,casual,none,f,t,t,t,1,low
Upru5VE0jZ81ZQVVNCK_uA,t,t,f,average,f,f,f,t,casual,none,t,t,t,t,1,
y-uHaMLLWQydSyWJawLIUw,t,,t,average,f,f,f,t,casual,none,f,t,t,t,1,
9Dj2we91vaYDVhfq6t-Luw,t,f,,,f,f,f,t,casual,,f,t,t,t,1,
5Js9G0axfWhbYlB9UgXLww,t,,t,average,f,f,f,t,casual,none,f,t,t,t,1,
wdEnI9WTLHiqSCH1RdJ40w,t,,,,f,f,t,f,casual,none,f,t,t,t,1,
TBTaMIaeDw5B79hXDZBtrA,t,t,t,loud,f,f,f,t,casual,none,f,t,t,t,1,
O02yhnk20alGOBw0HcmHGw,t,,,,,,,f,,,f,,,,,
ZN9aiuiCPAXWHmV_hB3KXw,t,,f,,f,t,f,f,casual,none,,t,t,t,2,
PeswraYFyhr33CmAK5oW5A,t,,,average,f,,f,f,casual,none,f,t,t,t,1,
PxqufEwqzIHAbQGRdZ3bUw,t,f,t,average,f,f,f,f,casual,beer_and_wine,f,t,t,t,1,
Y3a3RkR97J_ReiKgiMXeJg,t,,t,average,t,f,t,t,casual,full_bar,t,t,t,t,2,
hIe65VALe8rxseYECVj08w,t,,t,quiet,f,t,t,t,casual,beer_and_wine,t,t,t,t,2,
0nyaKW_6QHSJ74OVnDmyhA,t,,,,f,f,,f,casual,,t,t,t,t,1,
faitVIiNezSN0ogZQSZPWQ,,,,,,t,,,casual,full_bar,t,t,t,t,2,
zTfBa__ldlTdbVgSl5h31Q,t,,t,quiet,t,f,t,f,casual,full_bar,t,t,t,t,2,
3msnZ6oe0sslHsE1js1QUA,t,,,average,f,f,f,t,casual,none,f,t,t,t,1,
JqAI4UA2xXPYxvlhzG-i9A,t,,f,average,f,f,f,t,casual,none,f,t,t,t,1,
_BU867oRCLZnDIRmg7S6Wg,t,,t,average,f,f,t,t,casual,full_bar,t,t,t,t,2,
pTBS-RD0_DZwu-Scp0bWwQ,t,,t,average,f,f,f,f,casual,none,f,t,t,t,1,
ZN-RG7wkT8MLsmaTPzIW5g,t,,,average,f,f,t,t,casual,full_bar,f,t,t,t,1,
aVBebzA7D9DpQ-JbiCxQNg,t,,,,,,t,t,casual,beer_and_wine,t,t,t,t,1,low
vB3vEjcw9dfHmgP8ac5ZMQ,t,t,f,average,f,f,f,t,casual,none,f,t,t,t,1,
fyy4WNuchHJBa2zH6L8QQw,t,,,very_loud,f,t,f,f,casual,none,f,t,t,t,1,low
4sE8irsM-l6Y-Npodmx9kA,t,f,f,,f,t,f,f,casual,,f,t,,,,low
q5Vz6JNAGDqAT_P1lB1jVg,t,t,f,quiet,f,f,f,f,casual,none,f,t,t,t,1,low
bexPpkHMthuCaeC0g0Lrfg,t,,,average,f,f,f,t,casual,none,f,t,t,t,1,
Snu39WyiChz0NwFWRMyUvQ,t,t,,,f,f,,f,casual,,,t,t,t,1,low
nqpUjsD-nUIQCrr15B9W-g,t,t,t,average,f,f,f,f,casual,none,f,t,t,t,1,low
hgy8A1Wnqyi4M-HJIFLpyQ,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
IcuPhhH7QCOCT19EDEppEw,t,,t,average,f,f,f,t,casual,none,f,t,t,t,1,low
5MlUPatQxg4GZhkPwGIvrQ,t,,f,quiet,t,f,,f,casual,full_bar,t,t,t,t,2,low
hxruECjY-r3Y1WBaFcl90g,t,,f,average,f,f,f,f,casual,none,f,t,t,t,1,
qdI9KaRhOzaJRK0dvGUSaw,t,,f,average,f,f,f,f,casual,beer_and_wine,t,t,t,t,1,low
dvjYiddhJ2HrosdSBAqngg,t,,t,quiet,f,t,f,f,casual,none,f,t,t,f,1,low
UtmsxhLHB4lYSN_NxKW3XA,t,,f,quiet,f,t,t,f,casual,none,f,t,t,t,2,low
7pj0w2wN4LWhvTCPz78h1Q,t,,,,t,f,t,t,casual,full_bar,t,t,f,t,2,low
cuxqnMMmbBV0iE2KJJy60Q,t,,,,,t,,f,casual,,,t,,,1,
-KZA7UoULw_pM3jBBUzb8A,t,,t,average,f,t,t,f,casual,none,f,t,t,t,1,
1-t2rcSaH4JGi1jejiHfCA,t,t,f,average,f,f,f,f,casual,none,t,t,t,t,1,low
HghAgkxoEpUNZNQbAY485A,f,,,,t,f,f,f,casual,,,t,t,t,2,
kktQXaj7zI_PGkH6SR2YPg,f,,,very_loud,f,f,t,f,casual,none,f,t,t,t,1,low
DLBRqj-RXzg2QPJko9L7dw,t,,,quiet,f,f,t,f,casual,,t,t,t,t,2,
p1ntTC9-CI6x5Y_nUoo6Ag,t,,f,average,f,f,f,f,casual,none,t,t,t,t,1,
lDpZvI18smqlyBeC4YykFA,t,t,f,quiet,f,f,f,t,casual,none,t,t,t,t,1,
41SzC2WJ-RVUpVZ2NJfE-w,t,t,f,average,f,f,t,f,casual,none,f,t,t,t,1,low
x-YyGmE9tIXAUdg_4Py5KA,t,f,f,average,f,t,f,f,casual,none,f,t,t,f,2,low
GTVneiUeIyRL8Wa_WmEQ0g,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
0Apb1P7RzbQEkeJDuywlPQ,f,,,,f,f,,f,casual,full_bar,t,t,t,t,2,low
r7Ge8_c5Y2TXthb4CSjzaA,t,,t,average,t,f,t,t,casual,full_bar,t,t,t,t,2,
LGLOtR2e-v74MpB51k8hxQ,t,,f,quiet,f,f,f,f,casual,none,t,t,t,t,1,
avvNnkpGpGIS-2CClsduXA,t,,f,average,t,f,t,t,casual,full_bar,t,t,f,t,2,
19hZVXTJ8nGUMBsuIfgm5g,t,,f,average,f,f,f,t,casual,none,f,f,t,t,1,
3QtWG5sN3HJNBVKn_wHQEw,t,,f,average,f,f,f,f,casual,none,f,t,t,f,1,
sh1-BzB29lIOA2qQ_PxN-A,t,,f,average,f,f,f,f,casual,none,t,t,t,f,1,
wWIK4pP8eTVRiTQIUQ6O9Q,t,,,,f,t,f,f,casual,none,f,t,t,t,1,
NXPuaH5R8rMfYqnnP5s1WA,t,,f,average,f,f,f,t,casual,none,f,f,t,t,1,
uyuiIvQ3aWZxc1-2i_dQtQ,t,,f,average,f,f,t,f,casual,none,f,t,t,t,1,
JNTpW2zBftGllVr7iieazQ,,,,,,,,,,,,,,,,low
UHCyY_IxIXmM5CFO4zF4JA,t,,,,f,f,f,f,casual,none,f,t,t,t,1,low
QEytIMqL_i4VETkP_kqePQ,t,t,,,f,f,,t,casual,,,t,t,t,1,low
hBodj_f6adUAnEVUb_he_A,t,,,,f,,,,casual,,f,t,t,,1,low
eVZG9sXJSz9zZpX7H2WHiw,t,t,f,average,f,f,t,f,casual,none,f,t,t,f,1,low
lbECi2rbJPZWzHdmrC9xAA,t,,,,t,t,,f,casual,full_bar,t,t,t,t,2,
SgGINtDKQgoXoAnQgrDKDg,t,,t,average,f,f,t,t,casual,full_bar,t,t,t,t,2,
SQ7MWe4iDbvhuVcBpCar9A,f,,,,f,t,,f,,beer_and_wine,t,t,t,t,2,
-0HGqwlfw3I8nkJyMHxAsQ,t,t,f,quiet,f,f,t,f,casual,none,f,t,t,t,1,
mcgtZvjjCXLY-Dt7V_XZ6g,t,,,,f,f,t,f,casual,none,,t,t,t,1,low
08In-bFs8JOmSTDlQ0BfFw,t,,,,t,f,t,f,casual,,f,t,t,t,2,
lq2iZK7epi23byzcejjqTg,t,,f,average,f,f,f,f,casual,none,t,t,t,t,1,
s_rPbgLOpWDgulVn9wd7GQ,t,,,,,f,,,casual,full_bar,t,t,f,t,1,low
dD2xiLM1_5Vg0pMvMIPZww,,,,,,,,t,,,,t,,,1,low
BgkM4eq-n2y_E0IujSpQwQ,t,f,t,average,f,f,f,f,casual,none,f,t,t,t,1,low
dWa3oZ_uXFaCMtPOT44R4g,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
fsxBliRs4rwxRXkZUVy62A,t,,t,average,t,f,t,t,casual,full_bar,t,t,t,t,2,
djaLlLr3jlPApAqL4exhxQ,t,,,quiet,f,t,,f,casual,,t,t,t,f,2,low
72pUqCkncwVVn65cIiX8aA,t,t,t,quiet,f,f,f,f,casual,none,f,t,t,t,1,low
M0a0UNYie0vmrDxY5r2yjA,t,t,f,quiet,f,f,t,f,casual,none,f,t,t,t,1,low
NhdIZvpM11d720SskLvRpA,t,t,,average,f,f,,f,casual,none,f,t,t,t,1,
AX56yxldIb7TPBHMaPqOmg,t,,t,quiet,f,f,f,t,casual,none,f,t,t,t,1,low
