business_id,cuisine
KPoTixdjoJxSqRSEApSAGg,Thai
e5kc0CQ4R-PCCDgb274gSg,Cafes
e5kc0CQ4R-PCCDgb274gSg,Mexican
e5kc0CQ4R-PCCDgb274gSg,Tex-Mex
eOgUKCy5-sK-leqIBiNokg,Cafes
45puCRQ6Vh_IIAy7kkfFDQ,American (Traditional)
D09yG6Z3gcsh24Qn7Y4gYA,Mexican
VsO_rhXi5lgbaGxNwoEZsQ,Asian Fusion
VsO_rhXi5lgbaGxNwoEZsQ,Chinese
XI-_Y2XRw03mozGx0Z90Gw,Mexican
LXhL5X3edNRy7epku6UAEw,Breakfast & Brunch
qsWxbgQwuomXvMseg23DGg,American (Traditional)
qsWxbgQwuomXvMseg23DGg,Chicken Wings
DlCtdbceo4YNSI53cCL2lg,Italian
trAvQPp7gps0Btk-2AmLpw,Greek
trAvQPp7gps0Btk-2AmLpw,Mediterranean
trAvQPp7gps0Btk-2AmLpw,Sandwiches
s6zzKc7UvwDRxn-BFlhiTg,Fast Food
s6zzKc7UvwDRxn-BFlhiTg,Sandwiches
4WcxnNv_lzCIG2eb8O5Mlg,American (Traditional)
xH5axHFadmc7Veutt376TA,Burgers
xH5axHFadmc7Veutt376TA,Fast Food
Vvh2Hd4SsZjEEfKLNKAEWw,Fast Food
Vvh2Hd4SsZjEEfKLNKAEWw,Sandwiches
wki-Qlp3OWgH0XtZ-Jz_WQ,Delis
wki-Qlp3OWgH0XtZ-Jz_WQ,Sandwiches
oSKT5oZX1NWYaHwOWL5lag,Sushi Bars
oSKT5oZX1NWYaHwOWL5lag,Japanese
muCl5p-9ut1sY0aKeUeRhw,American (New)
oCA2OZcd_Jo_ggVmUx3WVw,Barbeque
eK6KGMKqU_4nB9RdayZD7Q,Mexican
jn3OgTqiQIFymRA9U0PTfQ,American (New)
odhXwWaYZvD_icIN6f_DbA,Greek
odhXwWaYZvD_icIN6f_DbA,Mediterranean
odhXwWaYZvD_icIN6f_DbA,Sandwiches
apCfJVnRyaw6oVUBKujpUQ,Mexican
ykfTh6HI219NoMsWBxulxw,Chinese
VXIkI9_EbDbYHeO9IzKjJg,Mexican
rbiRLiFTG098z9JaK3Nshw,Latin American
cgNIBHS2mLdbTRiodAT6EQ,Mexican
SZvYxcvYYVRue9MXcEDjsA,American (Traditional)
Xo9Im4LmIhQrzJcO4R3ZbA,Mexican
NYBx4sdSVrN-I5Q8RfLMPg,Seafood
NYBx4sdSVrN-I5Q8RfLMPg,Mexican
Cp6JGY5YIRncTV_My9nf9g,Seafood
Cp6JGY5YIRncTV_My9nf9g,Mexican
04HakCR6gEeRYNAoKxkppQ,Mexican
ITyAEjIw9ekv0wXpGHQF1Q,Fast Food
ITyAEjIw9ekv0wXpGHQF1Q,Sandwiches
q2SZa5g85758iW1L9sSL1g,Latin American
po5FyERB4lUZNnBIwnhFlg,American (Traditional)
po5FyERB4lUZNnBIwnhFlg,Fast Food
I2IofjP2sHZUkv7pcoc33A,Burgers
VZYMInkjRJVHwXVFqeoMWg,Fast Food
_RBUU1y4yJrK0SPAd8z0-w,Indian
_RBUU1y4yJrK0SPAd8z0-w,Buffets
PEHJjxdw11TGFma9Zhz3ng,Italian
zU8IfotOLryhaz5okWx6cA,Seafood
