business_id,cuisine
mVHrayjG3uZ_RLHkLj-AMg,American (New)
wJr6kSA5dchdgOdwH6dZ2w,Burgers
wJr6kSA5dchdgOdwH6dZ2w,Breakfast & Brunch
wJr6kSA5dchdgOdwH6dZ2w,American (Traditional)
P1fJb2WQ1mXoiudj8UE44w,Italian
8QlnAcjGE6dgfKTVoxrPvQ,American (Traditional)
8QlnAcjGE6dgfKTVoxrPvQ,Comfort Food
t_gan0EXAw8csKIeFyazJw,Italian
t_gan0EXAw8csKIeFyazJw,Pizza
sbW8qHJgzEIH42B0S-3New,American (Traditional)
McikHxxEqZ2X0joaRNKlaw,American (Traditional)
TfvWSIAMFZ9zI3y2-K6wOA,Chinese
6p9TlP2I8S4agxYMNFSDjg,American (Traditional)
6p9TlP2I8S4agxYMNFSDjg,Pizza
6p9TlP2I8S4agxYMNFSDjg,Gluten-Free
JDDeaNfb0JXD1NbznSIC9g,Gluten-Free
JDDeaNfb0JXD1NbznSIC9g,Asian Fusion
JDDeaNfb0JXD1NbznSIC9g,Chinese
uLnDFdn011hEroQQMLmxNQ,Pizza
eznh0XjVtv924K-KYx_ilQ,American (Traditional)
eznh0XjVtv924K-KYx_ilQ,Diners
usSROUMiAgPcxV3Ym0OxMQ,Seafood
53Yk2EODWnV9qHQECzeHVQ,Pizza
iBZRphMDFcS2aMbawc1OvA,Chinese
r8BwdblCW-ZUES37BL0khw,Burgers
r8BwdblCW-ZUES37BL0khw,Breakfast & Brunch
r8BwdblCW-ZUES37BL0khw,Diners
mIiHJkpK8nZvW_45LlhrbA,Pizza
OZfpG8tDCcIEq8pzgZdyKw,American (Traditional)
OZfpG8tDCcIEq8pzgZdyKw,Burgers
8Nm_jcCYtMXYW0ODSHDiXA,Japanese
eOv0Dbq2E8sd0CKMAqTImw,Pizza
_jsJFrAmFVPRio0eEVExbA,Burgers
_jsJFrAmFVPRio0eEVExbA,Fast Food
QVZBd_eu0oJ4IN0md2XPTQ,Italian
OcTG-KzDleuRub-pb6JS3Q,Pizza
Y2p07YEC8xOsYTHWf0UxiA,Chinese
g58NW9q4F09wTMiI7EIjmg,Italian
g58NW9q4F09wTMiI7EIjmg,Pizza
83_p9vIqOq1TUIf3_GD7bA,Cafes
UtWJ8NGMg-3z28s0RzlUoQ,Chinese
bZcqORBnVApUA2-SEn7VEQ,Burgers
bZcqORBnVApUA2-SEn7VEQ,Fast Food
PzG0XmAmtXFs6Fdnubf41g,Vegetarian
lHP5STO7aomlEQixH8m1aA,Pizza
qUeBDN0D8SC93KeAHhiL-g,Italian
YXuvFMtygHPFEOEXgRtgLQ,Chinese
LltDzuzRbAJbSrqD4JH-3A,Chinese
VkqKyq09rDYMhFk5nElWWA,Pizza
QIJa5h2d65Bgh82zct7c7A,American (Traditional)
QIJa5h2d65Bgh82zct7c7A,Diners
PTkChuI3GPCw-ZL1Iph76A,Italian
PTkChuI3GPCw-ZL1Iph76A,Pizza
BbIh5NTizhV4Fq_mLmNkpg,Seafood
BbIh5NTizhV4Fq_mLmNkpg,Fast Food
IxQ1ATP_Wg_QujO9nywzcQ,German
oj8bMz76cKXQClpFTFNW9w,Delis
6AnorAMPkTdSDbUkOoV1Rw,Cafes
rEKBr81s19Soh3dYj4bcGQ,Italian
rEKBr81s19Soh3dYj4bcGQ,Pizza
rEKBr81s19Soh3dYj4bcGQ,Chicken Wings
vMCCvnDU-Iz_D_pmbcMqzA,American (New)
Z0OGW8PysysRXE0dR7QxQQ,Barbeque
yfuoL_w76WFVHcGJbw0IIg,Pizza
AAcw9y30cRuMo0oa8UBiIw,Pizza
YUZVBdGmagwXV-yOhR-1GQ,Seafood
PSlOtPIo28BvWOzdLmRRRQ,Polish
PSlOtPIo28BvWOzdLmRRRQ,Greek
m61vZsAxmTEq3uiCjFjM8Q,Diners
93UCt9OgWYmypZCpXtUu8g,Pizza
