B ID,Chicken Wings,Salad,Chinese,American (New),American (Traditional),Buffets,Greek,Cafes,Mediterranean,Japanese,Breakfast & Brunch,Delis,Pizza,Sandwiches,Fast Food,Mexican,Burgers,Barbeque,Seafood,Sushi Bars,Italian
KPoTixdjoJxSqRSEApSAGg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5kc0CQ4R-PCCDgb274gSg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
eOgUKCy5-sK-leqIBiNokg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45puCRQ6Vh_IIAy7kkfFDQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
D09yG6Z3gcsh24Qn7Y4gYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VsO_rhXi5lgbaGxNwoEZsQ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
XI-_Y2XRw03mozGx0Z90Gw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LXhL5X3edNRy7epku6UAEw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qsWxbgQwuomXvMseg23DGg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
DlCtdbceo4YNSI53cCL2lg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trAvQPp7gps0Btk-2AmLpw,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s6zzKc7UvwDRxn-BFlhiTg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4WcxnNv_lzCIG2eb8O5Mlg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
xH5axHFadmc7Veutt376TA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Vvh2Hd4SsZjEEfKLNKAEWw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wki-Qlp3OWgH0XtZ-Jz_WQ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oSKT5oZX1NWYaHwOWL5lag,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
muCl5p-9ut1sY0aKeUeRhw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oCA2OZcd_Jo_ggVmUx3WVw,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eK6KGMKqU_4nB9RdayZD7Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jn3OgTqiQIFymRA9U0PTfQ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
odhXwWaYZvD_icIN6f_DbA,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
apCfJVnRyaw6oVUBKujpUQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ykfTh6HI219NoMsWBxulxw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VXIkI9_EbDbYHeO9IzKjJg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rbiRLiFTG098z9JaK3Nshw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cgNIBHS2mLdbTRiodAT6EQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SZvYxcvYYVRue9MXcEDjsA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Xo9Im4LmIhQrzJcO4R3ZbA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NYBx4sdSVrN-I5Q8RfLMPg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Cp6JGY5YIRncTV_My9nf9g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
04HakCR6gEeRYNAoKxkppQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
